Alimento (por 100 gramos);Calorías (Kcal.);Carbohidratos (g.);Proteínas (g.);Grasas (g.);Fibra (g.)
Habas secas;343;59;23;1.5;4
Hamburguesa casera;220;16,76;13,8;10,5;0,8
Hamburguesa con queso (Burger King Cheeseburger);270;25,46;13,49;12,9;1,9
Hamburguesa con queso (Burger King WHOPPER con queso);268;17,73;13,69;15,8;1,1
Hamburguesa con queso (Burger King WHOPPER Jr. con queso);225;18,11;11,2;11,88;0,9
Hamburguesa con queso (McDonald's Double Cheeseburger);282;17,97;16,24;16,18;0,9
Hamburguesa con queso (McDonald's Quarter Pounder con queso);269;19,72;15,21;14,4;1,2
Harina Avena;401;73;12;9;7
Harina Centeno;303;68;7;1;9
Harina Maíz;422;90;8;4,5;8,5
Harina Soja;447;24;37;24;12
Harina Trigo, Integral;318;66;13;2;10
Harina Trigo, Panificada;337;75;11;1;3
Helado;209;21;4;12;0
Helado Fruta;140;29;2;2;0
Hígado Cerdo;120;1;21,4;3,7;0
Hígado Pollo;137;1,2;22,1;4,7;0
Hígado Ternera;132;1,6;20,5;4,8;0
Higos;74;19,18;0,75;0,3;2,9
Higos Secos;213;53;4;0;18
Hojas de cardo, cocidas, sin grasa agregada en la cocción;23;3,77;1,89;0,6;0,7
Huevas de arenque;143;1,5;22,32;6,42;0
Huevas de esturión;264;4;24,6;17,9;0
Huevo Duro;145;0,3;12,5;10,5;0
Huevo entero crudo;143;0,72;12,56;9,51;0
Huevo entero frito con aceite.;215;0,76;13,27;17,24;0
Huevo, solo clara, crudo;52;0,73;10,9;0,17;0
Huevo, solo yema, cruda;322;3,59;15,86;26,54;0
Hummus;260;19,86;8,18;17,78;5,9
Jamón Cocido;114;0,4;21;3;0
Jamón de pavo, preenvasado o charcutería;124;2,93;19,6;3,8;0
Jamón serrano;241;0;31;13;0
Jamón, ahumado o curado, enlatado;132;1;17,46;6,17;0
Jamón, preenvasado o charcutería, fiambre, sodio reducido;107;0,7;16,85;4,04;0
Judías blancas secas / Alubias blancas secas;272;41,6;22,2;1,3;19,7
Jugo / Zumo de apio;18;4;0,83;0,16;1,6
Jugo / Zumo de arándano, 100%;46;12,2;0,39;0,13;0,1
Jugo / Zumo de ciruela, 100%;71;17,45;0,61;0,03;1
Jugo / Zumo de coco;31;2,92;0,21;2,08;0
Jugo / Zumo de fresa, 100%;38;7,8;0,3;0,6;0,1
Jugo / Zumo de granada, 100%;54;13,13;0,15;0,29;0,1
Jugo / Zumo de lima, 100%;25;8,42;0,42;0,07;0,4
Jugo / Zumo de limón, 100%;22;6,9;0,35;0,24;0,3
Jugo / Zumo de mandarina, 100%;43;10,1;0,5;0,2;0,2
Jugo / Zumo de manzana, 100%;46;11,3;0,1;0,13;0,2
Jugo / Zumo de maracuyá, 100%;51;13,6;0,39;0,05;0,2
Jugo / Zumo de mora, 100%;38;7,8;0,3;0,6;0,1
Jugo / Zumo de naranja, 100%;48;11,45;0,68;0,12;0,3
Jugo / Zumo de papaya, 100%;57;14,51;0,17;0,15;0,6
Jugo / Zumo de piña, 100%;53;12,87;0,36;0,12;0,2
Jugo / Zumo de sandia, 100%;30;7,55;0,61;0,15;0,4
Jugo / Zumo de tomate, 100%;17;3,53;0,85;0,29;0,4
Jugo / Zumo de uva, 100%;60;14,77;0,37;0,13;0,2
Jugo / Zumo de zanahoria, 100%;40;9,28;0,95;0,15;0,8
Jurel;112;0,8;15,4;5,2;0
Kéfir;52;7,34;3,59;0,92;0
Kétchup;131;32;0,4;0;0,7
Kiwi crudo;61;14,66;1,14;0,52;3
Langosta, al vapor o hervida;91;0;18,3;2;0
Langostino;93;0;20,1;1.4;0
Leche baja en grasa (1%) semidesnatada;42;4,99;3,37;0,97;0
Leche baja en grasa (2%) semidesnatada;50;4,8;3,3;1,98;0
Leche condensada, endulzada;321;54,4;7,91;8,7;0
Leche de almendras, endulzada;38;6,59;0,42;1,04;0,4
Leche de almendras, sin azúcar;15;0,58;0,59;1,1;0
Leche de arroz;47;9,17;0,28;0,97;0,3
Leche de cabra entera;69;4,45;3,56;4,14;0
Leche de coco para cocinar;230;5,54;2,29;23,84;2,2
Leche de soja;43;4,92;2,6;1,47;0,2
Leche desnatada / descremada;34;4,96;3,37;0,08;0
Leche entera;61;4,8;3,15;3,25;0
Leche entera con calcio;61;4,8;3,15;3,25;0
Leche Entera, Polvo;500;37;25;26;0
Leche evaporada entera;134;10,04;6,81;7,56;0
Leche evaporada, sin grasa (desnatada / descremada);78;11,35;7,55;0,2;0
Leche sin lactosa, entera;61;4,8;3,15;3,25;0
Lechuga cruda;14;2,97;0,9;0,14;1,2
Lechuga romana cruda;19;3,78;1,39;0,27;3,1
Lechuga, Boston, cruda;13;2,23;1,35;0,22;1,1
Lechuga, rúcula, cruda;25;3,65;2,58;0,66;1,6
Lenguado, al vapor o escalfado;88;0;15,61;2,43;0
Lentejas secas;310;48,7;24,8;1,2;9,7
Lentejas, no agregadas grasas en la cocción;115;20,03;8,98;0,38;7,9
Levadura;325;41,22;40,44;7,61;26,9
Levadura de Cerveza, Seca;219;0;48;4;0
Lichi crudo;66;16,53;0,83;0,44;1,3
Lima cruda;30;10,54;0,7;0,2;2,8
Limón crudo;29;9,32;1,1;0,3;2,8
Lombarda (col lombarda);27;3,7;1,1;0,3;2,5
Lomo Cerdo Embuchado;386;0;50;21;0
Lubina al vapor o escalfado;122;0;23,18;2,52;0
Lucio al vapor o escalfado;111;0;24,22;0,87;0
Macarrones;370;79;14;2;3
Magdalena;397;42;6;23;1
Maíz al horno;214;39,68;3,5;4,31;1,9
Maíz crudo;86;18,7;3,27;1,35;2
Maíz Dulce Mazorca;104;19,5;3,3;0,78;2,8
Malvavisco;318;81,3;1,8;0,2;0,1
Mandarina cruda;53;13,34;0,81;0,31;1,8
Mango crudo;60;14,98;0,82;0,38;1,6
Manhattan Cocktail;222;1,82;0,03;0;0
Manteca de cerdo;902;0;0;100;0
Mantequilla;717;0,06;0,85;81,11;0
Manzana cruda;52;13,81;0,26;0,17;2,4
Manzana, seca;243;65,89;0,93;0,32;8,7
Margarina;533;0,86;0,17;59,81;0
Martini;201;0,15;0,07;0;0
Mayonesa;680;0,57;0,96;74,85;0
Mayonesa, baja en grasa, con aceite de oliva.;361;0;0,37;40;0
Mazapán;443;49;9;25;6
Mejillones al vapor o escalfados;171;7,35;23,7;4,46;0
Mejillones crudos;86;3,69;11,9;2,24;0
Melocotón crudo;39;9,54;0,91;0,25;1,5
Melocotón en almíbar;84;22;0.4;0;1
Melón;34;8,16;0,84;0,19;0,9
Membrillo (dulce de);242;62,8;0,14;0,03;0,6
Merluza;89;0;15,9;2,8;0
Mermelada, conserva;278;68,86;0,37;0,07;1,1
Miel;304;82,4;0,3;0;0,2
Miso;198;25,37;12,79;6,01;5,4
Molleja, cocinada;154;0;30,4;2,7;0
Moras congeladas;64;15,67;1,18;0,43;5
Moras crudas;43;9,61;1,39;0,49;5,3
Morcilla;379;1,29;14,6;34,5;0
Mortadela;311;3,05;16,37;25,39;0
Mostaza;60;5,83;3,74;3,34;4
Mousse de chocolate;209;16,24;4,31;14,97;0,6
Muffin de chocolate;390;50,81;6,39;18,2;1,9
Muslo de pollo, asado, con piel;206;0,12;25,65;11,46;0
Muslo de pollo, asado, sin piel;172;0;27,71;6,76;0
Nabo crudo;28;6,43;0,9;0,1;1,8
Nachos con queso;343;34,91;4,32;21,5;3,2
Naranja;47;11,75;0,94;0,12;2,4
Nectarina;49,7;10,2;0,9;0,1;2,2
Nueces (castellanas);654;13,71;15,23;65,21;6,7
Nueces de Brasil;659;11,74;14,32;67,1;7,5
Nueces de macadamia;716;12,83;7,79;76,08;8
Nueces Pacanas - Pecanas;691;13,86;9,17;71,97;9,6
Nuggets de pollo;307;14,93;15,92;20,36;0,9
Ñoquis, patata;133;17,06;2,36;6,24;1
Orejas de cerdo, cola, cabeza, hocico, partes misceláneas, cocidas;236;0;26,14;13,77;0
Ostras crudas;51;2,72;5,71;1,71;0
Paella con mariscos;142;16,43;8,04;4,68;0,8
Paella de carne al estilo valenciano;270;16,74;21,71;12,54;0,5
Palmitos enlatados (conserva);47;8;2,8;0,3;0
Paloma;178;0;37;3;0
Paloma, frita;223;1,44;23,06;13,82;0
Palometa (pescado);125;0;20;5;0
Palomitas de maíz;438;74,18;10,19;11,19;4,9
Palomitas de maíz, microondas;538;55,99;8,69;31,07;10,1
Palosanto;64;15;0.5;0.1;1.3
Pan blanco;266;49,42;8,85;3,33;2,7
Pan blanco, tostado;297;65;10;2;3
Pan centeno, tostado;285;53,08;9,34;3,63;6,4
Pan de nuez;392;49,72;6,49;19,24;1,3
Pan francés o viena;272;51,88;10,75;2,42;2,2
Pan francés o viena, de trigo integral;239;49,1;8,33;1,04;4,2
Pan integral;252;42,71;12,45;3,5;6
Pan multigrano;265;43,34;13,36;4,23;7,4
Pan pita, tostado;302;61,21;10;1,32;2,4
Pan sin gluten;248;45,78;4,31;5,24;4,3
Pan, salvado de avena;299;53,89;9,33;4,89;4,4
Papaya cruda;43;10,82;0,47;0,26;1,7
Pasas;299;79,18;3,07;0,46;3,7
Pasta cocida;157;30,68;5,76;0,92;1,8
Pasta con sabores;87;14,44;2,46;2,23;0,4
Pasta de wasabi;292;46,13;2,23;10,9;6,1
Pasta sin gluten;179;38,05;3,2;1;1,4
Pastrami;147;0,36;21,8;5,82;0
Patas de pollo;215;0,2;19,4;14,6;0
Patata asada;206;46,1;4,3;0,1;7,9
Patata hervida;125;20,45;1,87;4,19;1,4
Patatas fritas;529;56,54;2,92;32,19;8,8
Patatas guisadas;114;19,91;1,84;3,22;1,4
Patatas puré;111;17,69;2,15;3,79;1,2
Pato asado;189;0;25;9,8;0
Pavo;107;0;21,9;2,2;0
Pepinillos en vinagre, condimento dulce;130;35,06;0,37;0,47;1,1
Pepino crudo;12;2,16;0,59;0,16;0,7
Pera cruda;57;15,23;0,36;0,14;3,1
Perca de mar, al horno o a la parrilla, grasa añadida en la cocina;129;0,1;18,73;5,56;0
Perca del océano, al vapor o escalfado;99;0;19,25;1,94;0
Perca del océano, crudo;79;0;15,31;1,54;0
Percebes;59;0;13,6;0,5;0
Perdiz;106;0;23;1,6;0
Perejil crudo;36;6,33;2,97;0,79;3,3
Perrito-Caliente Con Mostaza;308;33;11;14;0
Pescadilla;69;0;16;0,6;0
Petit-Suisse Queso, Tipo;173;4;8;14;0
Pez espada, al horno o a la parrilla, sin agregar grasa en la cocción;182;0,1;24,76;8,38;0
Pez espada, al vapor o escalfado;181;0;24,72;8,36;0
Pichón;182;0;21;10;0
Pimiento, crudo;24;5,13;0,91;0,22;1,8
Pimientos en vinagre;40;9,04;0,82;0,19;1,6
Piña colada;151;19,5;0,36;2,13;0,1
Piña cruda;50;13,12;0,54;0,12;1,4
Piña en almíbar;81;21;0,3;0,1;0,9
Piña seca;269;70,08;1,51;0,34;3,9
Piñones;673;13,08;13,69;68,37;3,7
Pipas girasol;580;20;27;43;2,7
Pistachos;572;28,28;21,05;45,82;10,3
Plátano crudo;89;22,84;1,09;0,33;2,6
Pollo;167;0;20;9,7;0
Pollo (con piel);298;0;25,73;20,8;0
Pollo o pavo agridulce;250;23,86;10,1;12,65;1
Pollo, Frito Kentucky;155;5;13;9;0
Pollo, Pechuga, asado;175;0,09;26,37;7,67;0
Pollo, Pechugas Kentucky;436;34;25;22;0
Pomelo crudo;32;8,08;0,63;0,1;1,1
Ponche de huevo, regular;88;8,05;4,55;4,19;0
Postre de gelatina;62;14,19;1,22;0;0
Pretzel;384;80,39;10,04;2,93;3,4
Puerro crudo;61;14,15;1,5;0,3;1,8
Pulpo hervido;69;1,4;13,4;1;0
Queso americano;307;8,85;16,09;23,06;0
Queso Azul;353;2,34;21,4;28,74;0
Queso Babibel, tipo;314;0;23;25;0
Queso Blanco Desnatado;68;3;10;2;0
Queso Brie;334;0,45;20,75;27,68;0
Queso Burgos;167;3;11;11;0
Queso Cabra;250;2;17;18;0
Queso Camembert;300;0,46;19,8;24,26;0
Queso Cheddar;404;3,09;22,87;33,31;0
Queso Chihuahua;374;5,56;21,56;29,68;0
Queso Colby;394;2,57;23,76;32,11;0
Queso con nueces;424;5,89;17,87;37,72;1,5
Queso Cotija;366;3,97;20;30;0
Queso crema;350;5,52;6,15;34,44;0
Queso de cabra;360;0,76;23,52;28,85;0
Queso Emmental;367;0;27,3;28,8;0
Queso Feta;264;4,09;14,21;21,28;0
Queso Fontina;389;1,55;25,6;31,14;0
Queso Fresco (de Burgos);175;4;15;11;0
Queso Gouda o Edam;357;1,67;24,98;27,69;0
Queso Gruyere;413;0,36;29,81;32,34;0
Queso Limburger;327;0,49;20,05;27,25;0
Queso Manchego Curado;420;1;32;32;0
Queso Manchego Fresco;333;0;26;25;0
Queso Manchego Semicurado;390;0;29;29;0
Queso Monterey;373;0,68;24,48;30,28;0
Queso Mozzarella, Leche Entera;300;2,19;22,17;22,35;0
Queso Münster;368;1,12;23,41;30,04;0
Queso parmesano, rallado seco;420;13,91;28,42;27,84;0
Queso Pirineos;355;0;22;30;0
Queso Porciones;283;1;18;23;0
Queso Port du Salut;356;2,22;24,94;27,44;0
Queso Provolone;351;2,14;25,58;26,62;0
Queso Quark;167;3;11;11;0
Queso Ricota;156;4,09;11,32;10,44;0
Queso Roquefort;353;2,34;21,4;28,74;0
Queso Suizo;393;1,44;26,96;30,99;0
Queso tipo Speisequark;101;3;10;5;0
Quiche Lorraine Bacón-Queso;391;21;15;28;0
Rábano crudo;16;3,4;0,68;0,1;1,6
Rabo Vacuno;171;0;20;10;0
Rape;86;0;17;2;0
Ratatouille;65;6;1;4,6;1,6
Raviolis Tomate, Salsa;106;13;5;4;0
Refresco cola;42;10,36;0;0,25;0
Refresco cola light / diet;2;0,29;0,11;0,03;0
Regaliz;375;93,55;0;0,05;0,2
Remolachas crudas;43;9,56;1,61;0,17;2,8
Remolachas, cocidas;44;9,9;1,67;0,18;2
Repollo, chino, crudo;13;2,18;1,5;0,2;1
Repollo, col rizada, cocida, grasa no agregada al cocinar;28;6,32;2,07;0,1;3,2
Requesón;143;3,18;10,49;9,8;0
Riñón cocido;157;0;27,04;4,61;0
Rodaballo;98;0;16,1;3,6;0
Ron;231;0;0;0;0
Ruibarbo crudo;21;4,54;0,9;0,2;1,8
Sal;0;0;0;0;0
Salami;378;0,72;21,07;31,65;0
Salchichas Cerdo;367;10;11;32;0
Salchichas Fráncfort;274;3;10;25;0
Salchichón;454;2;26;38;0
Salmón ahumado;117;0;18,28;4,32;0
Salmón al vapor o escalfado;160;0;25,78;5,53;0
Salmón crudo;127;0;20,5;4,4;0
Salmonete crudo;117;0;19,35;3,79;0
Salsa Boloñesa;139;2;8;11;0
Salsa César;542;3,3;2,17;57,85;0,5
Salsa de Ajo;108;7,32;3,07;7,42;0,2
Salsa de arándano y frambuesa;162;41,83;0,78;0,22;2
Salsa de barbacoa;172;40,77;0,82;0,63;0,9
Salsa de cebolla;345;3,23;1,86;36,27;0,1
Salsa de chocolate;388;65,39;3,33;13,06;2
Salsa de ciruela;200;50,67;0,65;0,29;1,1
Salsa de cóctel;124;28,22;1,36;1,05;1,8
Salsa de enchilada roja;30;4,87;0,62;0,91;0,5
Salsa de enchilada, verde;28;5,5;0,99;0,59;1,4
Salsa de eneldo;429;3,08;1,92;45,78;0,3
Salsa de miel y mostaza;464;23,33;0,87;40,83;0,4
Salsa de pescado;35;3,64;5,06;0,01;0
Salsa de queso;160;7,66;3,24;13,02;0,3
Salsa de queso azul o roquefort;484;4,77;1,37;51,1;0,4
Salsa de soja;53;4,93;8,14;0,57;0,8
Salsa de tomate;101;27,4;1,04;0,1;0,3
Salsa de yogurt;220;11,75;3,45;18,27;0,1
Salsa holandesa;504;1,52;4,68;54,22;0
Salsa Kétchup;131;32;0,4;0;0,7
Salsa pesto;569;6,16;8,51;58,52;1
Salsa rusa;355;31,9;0,69;26,18;0,7
Salsa tártara;211;13,3;1;16,7;0,5
Salsa teriyaki;89;15,56;5,93;0,02;0,1
Salsa Tzatziki;92;3,95;5,35;6,31;0,2
Salsa verde o salsa verde;38;6,36;1,13;0,89;1,9
Salvado de avena;246;66,22;17,3;7,03;15,4
Salvado de trigo;216;64,51;15,55;4,25;42,8
Sandía cruda;30;7,55;0,61;0,15;0,4
Sangre Vacuno;81;0;18;1;0
Sangría blanca;94;8,26;0,04;0,04;0
Sangría roja;96;8,27;0,04;0,04;0
Sardinas cocidas;208;0;24,62;11,45;0
Sardinas con salsa de tomate;185;0,54;20,86;10,45;0,1
Sardinas enlatadas en aceite;208;0;24,62;11,45;0
Sardinas secas;406;0;46,06;23,18;0
Semillas de chía;534;28,88;18,29;42,16;27,3
Semillas de girasol;582;24,07;19,33;49,8;11,1
Semillas de sésamo;567;26,04;16,96;48;16,9
Sémola;90;16,43;2,34;1,55;0,9
Sepia;92;3,08;15,58;1,38;0
Sesos Cerdo;132;0;11;9;0
Sesos Cordero;110;0;10;8;0
Sesos Ternera;110;0;10;8;0
Setas Boletus, Edulis;16;0;3;0;7
Setas Cantharellus;11;0;2;0;6
Setas Colmenilla;9;0;2;0;7
Seven-Up, refresco;144;36;0;0;0
Sidra de manzana;46;11,3;0,1;0,13;0,2
Soja Brotes;30;5,94;3,04;0,18;1,8
Soja Germinada;54,9;4,68;5,53;1,03;2,38
Sopa agridulce;39;4,35;2,58;1,21;0,5
Sopa De Cebolla;46;6,7;3,06;1,42;0,7
Sopa Minestrone;35;5;2;1;0
Sorbete de cítrico;95;23,17;0,5;0;0,1
Sorbete, sabores;144;30,4;1,1;2;1,3
Stroganoff de jamón;130;4,97;7,52;9,04;0,7
Strudel de manzana;274;41,1;3,3;11,2;2,2
Sushi;93;18,42;2,92;0,67;1
Sushi con atún;100;13,39;9,66;0,28;0,6
Sushi con salmón;107;13,39;8,92;1,74;0,6
Tamarindo, crudo;239;62,5;2,8;0,6;5,1
Tapioca;359;95;0;0;0
Tarta Manzana Casera;282;43;2;12;0
Té caliente a base de hierbas;1;0,2;0;0;0
Té caliente, manzanilla;1;0,2;0;0;0
Té, caliente, hoja, verde;1;0;0,22;0;0
Tequila;231;0;0;0;0
Toblerone, chocolate con leche con miel y turrón de almendras;525;61,21;5,71;28,57;2,5
Tocino;427;0;14;41;0
Tomate Frito;88;5,2;1,5;6,4;1,6
Tomate triturado;39;5.5;2.3;0.5;0
Tomates cocidos;18;3,99;0,95;0,11;0,7
Tomates crudos;18;3,89;0,88;0,2;1,2
Tomates rojos secos;258;55,76;14,11;2,97;12,3
Tomates verdes crudos;23;5,1;1,2;0,2;1,1
Tónica Agua;42;10;0;0;0
Tortilla de clara de huevo, revuelta o frita, hecha con aceite;119;0,77;11,52;7,38;0
Tortilla de huevo o huevo revuelto, hecho con aceite;180;1,81;11,16;13,95;0
Tortilla de maíz;218;44,64;5,7;2,85;6,3
Trucha;89;0;16;3;0
Trucha ahumada;251;0;35,47;10,99;0
Trucha al horno o asada, hecha con aceite;205;0,1;24,4;11,24;0
Trufas;511;49,61;6,77;31,93;2,8
Turrón Media;470;57;10;24;7
TWIX Barras de galletas de caramelo;502;64,8;4,91;24,85;1,1
Uvas;69;18,1;0,72;0,16;0,9
Uvas Pasas;243;63;2;0;6
Vermut Seco;118;6;0;0;0
Vieiras al vapor o hervidas;137;6,33;24,01;0,98;0
Vinagre;21;0,93;0;0;0
Vino de arroz;134;5;0,5;0;0
Vino Oporto;157;12;0;0;0
Vino sin alcohol;6;1,1;0,5;0;0
Vino, mesa, blanco;82;2,6;0,07;0;0
Vino, mesa, rosado;83;3,8;0,36;0;0
Vino, mesa, tinto;85;2,61;0,07;0;0
Vodka;231;0;0;0;0
Whisky;231;0;0;0;0
Yogur, griego con fruta;106;12,29;7,33;3;0
Yogur, griego natural;97;3,98;9;5;0
Yogur, helado, cono, sabores que no sean chocolate;189;31,5;4,48;5,38;0,2
Yogurt liquido;72;11,81;3,71;1,09;0,1
Yogurt, leche desnatada/descremada, fruta;83;15,02;5,09;0,17;0,1
Yogurt, leche desnatada/descremada, natural;56;7,68;5,73;0,18;0
Yogurt, leche entera, fruta;87;12,36;3,1;2,87;0,1
Yogurt, leche entera, natural;61;4,66;3,47;3,25;0
Yogurt, soja;94;15,96;3,5;1,8;0,2
Yuca fritas;267;34,72;1,24;13,94;1,6
Zanahorias crudas;41;9,58;0,93;0,24;2,8
Zanahorias, cocinadas, crema;88;8,38;2,08;5,26;1,9
Zanahorias, crudas, ensalada;208;17,17;1,22;15,7;2,3
Zumo de lima, 100% recién exprimido;25;8,42;0,42;0,07;0,4
Zumo de naranja, 100%, recién exprimido;45;10,4;0,7;0,2;0,2
Zumo de pomelo, 100%, recién exprimido;39;9,2;0,5;0,1;0,1
